Word,Count
=,315
/,191
{,135
},126
+,93
if,75
string,62
to,61
<summary>,60
new,60
</summary>,60
a,56
str,48
the,47
localized,46
up,46
==,45
Looks,45
similar,45
return,31
true;,27
false;,26
&&,26
!=,24
0),23
>,23
*,22
<,22
\"\\,20
decimal,20
public,20
//,19
for,19
int,18
is,18
i,17
null),17
decimal.Parse(vals[i,16
System.Globalization.NumberFormatInfo.CurrentInfo.NumberDecimalSeparator));,16
else,16
null;,16
0,15
0;,15
\0,\,14
void,14
-,14
and,14
return;,12
server,12
try,11
class,11
in,10
ParentNozzle.QueryTotals,10
var.Response,10
sale,10
catch,10
:,10
EuromatVariables,10
+=,9
//if,9
Sales.SaleData,9
of,9
i++),9
\string.Format("\{0:00}"\,\,8
_case,8
\HH:mm:ss.fff"\)\,8
(int,8
private,8
\"\\r\n"\);\,8
true);,8
ack,8
\System.IO.File.AppendAllText("\Euromat.log"\,\,8
\DateTime.Now.ToString("\dd/MM/yyyy\,8
null,8
true,7
invalidTotals,7
4,7
this,7
-=,7
ParentNozzle.TotalMisfunction,7
th,7
page,7
System.Threading.Thread(new,7
bytesRead);,6
};,6
following,6
\"\"\;\,6
\nwStream.Read(bufferRecieve,\,6
\1].Replace("\."\,\,6
Data,6
totalizers,6
WaitingForAnswer,6
using,6
Σφάλμα,6
(nozzlIndex,6
EuromatVariables(),6
=>,6
\2].Replace("\."\,\,6
pumpNumber);,6
with,6
totalizerDiff,6
byte[server.Client.ReceiveBufferSize];,6
nozzle,6
\"\nz"\;\,6
state.Sale.TotalVolume,6
dispensedVolume,6
\Encoding.ASCII.GetString(bufferRecieve,\,6
strNz,6
this.totalizers.Add(state);,6
state.Sale.SaleCompleted,6
server.Client.ReceiveBufferSize);,6
\"\0"\;\,6
server.Client.Send(buffer);,6
sale;,6
var,6
state.Sale.TotalPrice,6
<param,5
that,5
false);,5
//{,5
will,5
This,5
System.Threading.Thread,5
by,5
assembly,5
an,5
as,5
all,5
dispensedPrice;,5
(sale,5
2,5
DateTime.Now;,5
values,5
//},5
The,5
||,5
vars,4
(var.RateType,4
vals.Length,4
var.Nozzles[i].VolumeCash,4
fpAdd,4
again,4
\"\RECIEVE\,4
rate,4
or,4
stream---,4
pumpNumber),4
incoming,4
\"\2"\;\,4
this.Controller.DispenserStatusChanged,4
nz),4
var.Nozzles[i].VolumeCredit,4
%,4
------------------------------------------------------------------------------,4
\this.SendCommand(var,\,4
EventHandler<TotalsEventArgs>(Controller_TotalsRecieved);,4
\"\|"\\,4
bufferRecieve,4
\"\totalizerDiff\,4
System.Threading.ParameterizedThreadStart(this.ThreadRun));,4
this.Controller.DataChanged,4
nozzle.Enabled,4
state.Sale;,4
this.internalQueue[fuelPoint].Enqueue(values);,4
vals;,4
var.Nozzles[i].AmountCredit,4
fpChn,4
15000;,4
home,4
used,4
totalIndex,4
dispensedVolume;,4
Sales.SaleData();,4
\str,\,4
code,4
this.UnitPrice;,4
\"\."\)\,4
var.Nozzles[i].AmountCash,4
\"\ERROR"\;\,4
var.Data,4
\pumpNumber,\,4
EventHandler<FuelPointValuesArgs>(Controller_DispenserStatusChanged);,4
EventHandler<FuelPointValuesArgs>(Controller_DataChanged);,4
bytesRead,4
this.Controller.TotalsRecieved,4
content,4
specified,4
data,3
pump,3
connection,3
information,3
sales[i,3
TotalizerState,3
Receive,3
\dispensedPrice,\,3
bool,3
block,3
Αντλίας,3
Create,3
protocols,3
lastValuesSent,3
te,3
transmitted,3
//return,3
port,3
\"\_"\\,3
nz.GetLastSale();,3
(e.CurrentFuelPoint.DispensedVolume,3
request,3
Sale,3
vals,3
ASFuelControl.Common.FuelPointValues,3
EventHandler(sale_SaleCompeted);,3
get;,3
socket,3
totalDiff,3
last,3
Δεξαμενής,3
Version,3
Send,3
\totalizerDiff,\,3
file,3
sale.SaleProcessed,3
tank,3
List<Sales.SaleData>,3
tool,3
Totalizer,3
\unitPrice,\,3
(totalizerDiff,3
functionality,3
nz,3
Common.Sales.SaleData,3
SaleData,3
finally,3
set;,3
resource,3
set,3
\"\\\SalesHandler"\\,3
was,3
\ParentNozzle.ParentFuelPoint.SetExtendedProperty("\iNeedDisplay"\,\,3
until,3
current,2
\(decimal)Math.Pow(10,\,2
lastSale,2
server.GetStream();,2
});,2
throw,2
received,2
host,2
),2
\"\SEND\,2
RateTypeEnum,2
vals[vals.Length,2
List<EuromatNozzle>();,2
(RateTypeEnum)int.Parse(var.Response[6].ToString());,2
\dispensedVolume,\,2
\var,\,2
Αλλαγή,2
Runtime,2
this.salesCompleted.Remove(sale.SalesId);,2
var.RateType;,2
>=,2
foreach,2
\TotalizerEnd,\,2
break;,2
(nozzlIndex).ToString();,2
buffer,2
apo,2
nwStream.ReadTimeout,2
(TransTypeEnum)int.Parse(var.Response[5].ToString());,2
nozzlIndex),2
System.Text.UTF8Encoding.ASCII.GetBytes(var.Data);,2
\channel,\,2
multiResponse),2
//bytesRead,2
nozzlIndex.ToString();,2
regenerated,2
generated,2
\this.EuromatAuthorize(this,\,2
2));,2
nwStream,2
20;,2
vals);,2
