File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\DebugValues.cs,11,7,5,0,4,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\EuromatClient---.cs,585,300,201,19,85,0,200,668,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\EuromatClient.cs,1245,902,580,106,128,0,215,710,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\EuromatThread.cs,377,307,192,51,53,0,17,139,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\FuelPoint.cs,276,242,148,38,24,0,10,32,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\FuelPointValues.cs,106,97,58,43,6,0,3,12,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\FuelPumpControllerBase - Copy.cs,681,553,321,118,87,0,41,116,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\FuelPumpControllerBase.cs,983,717,419,149,114,1,152,428,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\IController.cs,85,67,57,0,14,0,4,17,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\IFuelProtocol.cs,31,21,17,0,5,0,5,21,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\IInvoicePrint.cs,19,16,12,0,3,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\IOutdoorPaymentTerminal.cs,22,19,15,0,3,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\IPumpDebug.cs,27,22,22,0,4,0,1,2,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Nozzle.cs,350,222,129,40,34,0,94,314,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\OpenCommand.cs,86,80,54,10,6,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\StringExtensions.cs,37,32,18,6,5,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Tank.cs,15,13,9,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\TankValueFilter.cs,50,45,25,10,5,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\TankValues.cs,22,17,13,0,2,0,3,15,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\AlertTypeEnum.cs,41,37,7,0,4,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\ApplicationUserLevelEnum.cs,17,15,6,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\CommandTypeEnum.cs,23,21,6,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\CommunicationTypeEnum.cs,16,14,6,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\ControllerTypeEnum.cs,40,38,6,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\DeviceTypeEnum.cs,22,20,6,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\DispenserProtocolEnum.cs,51,49,6,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\EnumToList.cs,89,78,45,9,11,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\FuelPointStatusEnum.cs,28,26,6,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\InvoiceRelationTypeEnum.cs,14,12,6,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\NozzleStateEnum.cs,17,15,6,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\OPTConnectionTypeEnum.cs,14,12,6,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\OPTTypeEnum.cs,14,12,6,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\PaymentTypeEnum.cs,16,14,6,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\ScheduleTypeEnum.cs,26,23,7,0,3,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\SendLogActionEnum.cs,17,15,6,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Enumerators\TankStatusEnum.cs,28,26,6,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Properties\Resources.Designer.cs,469,258,152,48,54,1,157,756,0,1
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Properties\Settings.Designer.cs,36,21,9,2,7,1,8,30,0,1
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Sales\SaleData.cs,103,75,54,3,11,0,17,61,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Sales\SaleHandler.cs,488,201,131,20,62,12,225,788,0,2
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Sales\TankFillingData.cs,29,24,16,0,5,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Common\Sales\TankSaleData.cs,20,18,14,0,2,0,0,0,0,0
