Word,Count
/,267
<remarks/>,191
to,30
a,27
</summary>,25
<summary>,25
up,23
localized,23
string,22
Looks,22
similar,22
the,16
this,7
by,5
assembly,5
is,5
Πετρέλαιο,5
for,4
------------------------------------------------------------------------------,4
class,4
or,4
code,4
Απώλεια,3
an,3
of,3
following,3
file,3
tool,3
This,3
resource,3
and,3
if,3
was,3
Αμόλυβδη,3
Version,3
ResGen,2
από,2
your,2
generated,2
Revision,2
with,2
attribute,2
regenerated,2
in,2
Runtime,2
Θέρμανσης,2
will,2
can,2
με,2
Αναφορά,2
COM,2
Dejamenhs,2
may,2
</auto-generated>,2
Changes,2
values,2
you,2
Build,2
lost,2
καυσίμου,2
all,2
Version:4.0.30319.42000,2
information,2
<auto-generated>,2
cause,2
Λάθος,2
be,2
set,2
Κίνησης,2
behavior,2
δεδομένα,2
A.M,2
μετά,2
using,2
ComVisible,2
incorrect,2
project,2
Premium,2
type,2
/str,1
\member,\,1
associated,1
StronglyTypedResourceBuilder,1
like,1
μετρητών,1
\COM,\,1
on,1
Numbers,1
ορίου,1
CurrentUICulture,1
'*',1
General,1
Μεταβολή,1
διαρροή),1
need,1
LRP,1
επικοινωνείας,1
προγράμματος.,1
controlled,1
as,1
that,1
\strings,\,1
(Υπέρβαση,1
κ.τ.λ.),1
Minor,1
current,1
95+,1
tank.TankVolume;,1
\AssemblyVersion("\1.0.*"\)]\,1
VS,1
Λάθους,1
modify,1
συναγερμού,1
Major,1
client.SendAlert,1
auto-generated,1
αντλίας,1
default,1
makes,1
Number,1
Αέριο,1
\υπερπλήρωσης,\,1
\class,\,1
types,1
\option,\,1
ResourceManager,1
specify,1
(Χωρίς,1
consists,1
Δεξαμενής,1
If,1
You,1
then,1
ή,1
Τερματισμός,1
Φυσικό,1
access,1
rerun,1
shown,1
100,1
The,1
Δεξαμενή,1
add,1
property,1
στάθμης,1
Ογκομετρικού,1
στοιχείων,1
Πίνακα.,1
Απόκλιση,1
values:,1
(κλοπή,1
δεξαμενής,1
νερού,1
visible,1
typelib,1
strongly,1
true,1
not,1
thread's,1
Επιλογή),1
etc,1
four,1
Φωτιστικό,1
remove,1
attributes,1
rebuild,1
Visual,1
through,1
via,1
πέραν,1
components,1
(LPG),1
typed,1
Στάθμη,1
lookups,1
false,1
Overrides,1
To,1
cached,1
exposed,1
GUID,1
Ορίου,1
A,1
του,1
these,1
Επαναδιύλιση,1
looking,1
instance,1
used,1
επικοινωνίας,1
για,1
.ResX,1
edit,1
ισοζυγίου.,1
about,1
from,1
strongly-typed,1
επαναφορά.,1
αντλία,1
επαναφόρά.,1
Information,1
νομιμου,1
Change,1
below:,1
Μίγμα,1
Studio,1
Αντλίας.,1
95,1
ID,1
Returns,1
Setting,1
[assembly:,1
,1
