Word,Count
/,2065
=,1325
<summary>,520
</summary>,520
if,338
=>,324
{,316
==,312
},305
the,288
new,262
up,253
of,245
a,208
<param,207
localized,179
Looks,178
&&,165
method,149
Required,148
resources,148
string,148
+,135
-,134
to,126
!=,115
for,112
resource,106
type,105
System.Drawing.Bitmap,102
null),99
be,92
this,88
in,85
code,82
not,80
should,78
with,78
used,76
similar,76
modify,75
any,74
false.</param>,74
support,74
do,74
\otherwise,\,74
editor,74
Clean,74
\name="\disposing"\>true\,74
designer,74
Designer,74
managed,74
being,74
disposed;,74
contents,74
variable,74
//,69
/GO,66
else,64
\"\\,61
foreach,57
return;,53
<=,53
\NULL,\,52
radButton1,49
>=,46
panel1,43
an,42
radButton2,41
var,41
0),39
as,38
continue;,38
is,37
TABLE,37
decimal,36
void,36
balance.TimeEnd,36
private,35
NOT,35
try,33
:,33
radLabel1,32
catch,31
\name="\sender"\></param>\,29
\name="\e"\></param>\,29
null,28
ADD,27
radLabel2,27
was,26
||,26
>,26
and,26
report;,25
tfi.TransactionTimeEnd,24
DateTime,24
\sender,\,24
\Dictionary<Data.Tank,\,24
e),24
NULL,24
<returns></returns>,24
panel2,24
label1,23
Event,23
\"\"\);\,23
s.TransactionTimeStamp,23
truncated]&quot;;,22
[rest,22
balance.TimeStart,22
true;,22
set,22
return,22
///,21
false;,21
radButton3,21
0;,20
tank,19
int,19
dbo.InvoiceType,19
after,19
/ALTER,18
all,18
qs.Sum(s,18
AS,17
+=,17
0,17
case,17
radLabel3,17
DateTime.Now;,17
radDateTimePicker1,16
text,16
Guid,16
panel4,15
data,15
thread,15
db,15
Color.White;,15
Data.DatabaseModel,15
radDateTimePicker2,15
balance.TimeStart);,15
radButton4,15
Data.DatabaseModel(Properties.Settings.Default.DBConnection);,15
controller,15
\"\"\)\,15
dtFrom,14
alerts,14
alert,14
panel3,14
radDropDownList1,14
label2,14
EventArgs,14
dtTo,14
ALTER,14
decimal>,13
report,13
this.database.SaveChanges();,13
deliveryType,13
*,13
decimal>();,13
report.DataSource,12
fired,12
tfi.TankId,12
),12
(Communication.Enums.FuelTypeEnum)ft.EnumeratorValue;,12
<,12
ft.FuelTypeId).Sum(t,12
t.Value);,12
t.Key.FuelTypeId,12
tank.TankId,12
tfi.InvoiceTypeId,12
database,12
database.TankFillingInvoiceViews.Where(tfi,12
main,12
or,12
CREATE,12
that,12
break;,12
radButton5,11
this.objectsToDispose.Add(report);,11
(,11
this.objectsToDispose.Add(db);,11
,11
this.reportViewer1.RefreshReport();,11
this.reportViewer1.ReportSource,11
null;,11
radLabel4,11
[uniqueidentifier],11
This,11
label3,11
by,11
ftpc.TotalizerEnd,11
Σύνολο,11
id,10
radPageView1,10
currentReport.Dispose();,10
radPageViewPage2,10
literCheckType,10
where,10
/CREATE,10
this.currentReport,10
