File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\Crypto.cs,173,139,86,12,9,0,25,141,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\MainForm.cs,1724,1142,730,140,166,2,416,1288,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\MainForm.Designer.cs,560,439,427,1,8,0,113,84,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\Program.cs,249,183,112,20,29,1,37,160,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\Properties\Resources.Designer.cs,2168,1026,654,181,187,1,955,3996,0,1
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\Properties\Settings.Designer.cs,120,96,36,11,16,1,8,30,0,1
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\Service References\SmsService\Reference.cs,1338,1114,573,139,216,1,8,30,0,1
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\Threads\AlertHandler.cs,834,679,424,103,61,4,94,390,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\Threads\ControllerThread.cs,1289,894,504,137,138,3,257,868,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\Threads\DirectPrinter.cs,106,67,37,1,24,0,15,76,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\Threads\EuromatTransmitter.cs,133,99,66,8,21,0,13,76,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\Threads\ExcelTextStripper.cs,95,73,45,9,17,0,5,27,0,0
