Word,Count
/,15414
=,10658
the,4819
<summary>,3712
of,3664
</summary>,3600
{,3340
to,3302
},3151
if,3103
a,2818
==,2752
+,2506
=>,2209
in,2116
new,1830
for,1826
this,1641
&&,1424
method,1270
-,1234
is,1225
<remarks/>,1217
00,1214
(,1209
up,1128
<param,1125
assembly,1056
!=,998
string,990
an,971
),955
|,951
return,890
localized,857
else,854
code,841
Required,819
Looks,819
null),790
type,757
class,744
with,734
\"\\,729
01,724
E0,699
not,696
on,695
be,678
$ANTLR,640
following,636
Version,635
true;,620
modify,592
or,583
support,580
designer,580
and,569
similar,544
values,543
//,535
byte[],531
set,514
:,490
information,483
30,483
<=,483
resources,478
int,477
Gets,469
from,466
by,465
any,442
can,439
you,438
message,437
order,433
ComVisible,430
>=,427
0),427
each,426
COM,426
<,425
Revision,424
attribute,422
Build,422
error,414
depending,412
properties,404
that,400
partial,400
provide,400
Please,400
implement,400
02,397
resource,393
0;,393
should,392
*,388
do,387
contents,381
editor,381
decimal,378
false;,372
return;,352
PTS,345
Reporting,341
telerik,341
foreach,336
continue;,330
If,326
as,322
start,321
throws,320
RecognitionException,320
value,319
using,316
end,315
)*,315
all,309
FuelPoint,307
controller,302
>,301
private,299
||,298
used,293
public,287
\0x00,\,286
ATG,284
after,284
null;,283
1,281
System.Drawing.Bitmap,275
var,275
right=,275
\0,\,269
balance.TimeEnd,265
response,265
null,265
'*',256
these,252
about,251
ID,249
project,249
being,247
04,246
The,243
call,243
Clean,239
false.</param>,239
variable,239
\name="\disposing"\>true\,239
managed,239
\otherwise,\,239
Designer,239
disposed;,239
true,238
void,236
through,233
false,229
[2],228
Number,226
General,219
access,219
0,219
command,218
was,218
need,217
+=,215
GUID,215
\COM,\,215
Protocol,212
visible,211
shown,211
below:,211
typelib,211
specify,211
makes,211
associated,211
You,211
consists,211
values:,211
Numbers,211
Change,211
components,211
attributes,211
four,211
default,211
Minor,211
Information,211
parameter,211
controlled,211
Setting,211
Major,211
types,211
exposed,211
\AssemblyVersion("\1.0.*"\)]\,210
[assembly:,210
waiting,208
FC,206
nozzle,206
Summary,202
description,202
Add,201
TODO:,199
case,199
constructor,199
FD,197
------------------------------------------------------------------------------,196
i,196
InitializeComponent,193
returns,192
\(decimal)Math.Pow(10,\,188
<remarks>,188
</remarks>,188
which,184
fp.Status,182
DateTime.Now;,175
15,175
try,170
data,167
03,166
balance.TimeStart,166
This,164
s.TransactionTimeStamp,160
qs.Sum(s,159
21,158
file,157
panel1,152
tfi.TransactionTimeEnd,144
\Dictionary<Data.Tank,\,144
will,143
radButton1,141
textBox1,141
};,141
Method,139
Value,139
tank,137
detail,137
system,136
70,135
break;,134
Visual,134
2,134
12,132
1),131
[,131
catch,130
68ms,130
time],130
NP,130
textBox4,129
textBox2,129
has,128
07,128
values.ActiveNozzle,127
FB,126
tool,126
argument,125
str,124
<paramref,124
Stops,119
no,119
array,119
34,119
channel,118
buffer,117
reportHeader,117
labelsGroupFooterSection,117
volume,117
labelsGroupHeaderSection,117
balance.TimeStart);,117
textBox3,116
/GO,116
strongly,115
DIGIT,115
radButton2,115
product,113
reportFooter,113
/</summary>,112
textBox5,112
Event,112
hex,111
left=,110
textBox7,108
14,108
cmd,108
behavior,108
10,107
16,107
nozzles,106
generated,104
10;,103
textBox8,102
15*4,102
cause,102
may,102
pageFooter,101
statements,100
deliveryType,100
sets,100
label,100
price,100
C#,100
compiler,100
bool,100
whining,100
byte,99
</auto-generated>,98
Changes,98
-1;,98
incorrect,98
textBox6,98
regenerated,98
lost,98
<auto-generated>,98
textBox10,97
textBox9,97
FF,96
titleTextBox,96
//if,96
xx,96
(Nothing,96
conditionalExpression,95
05,94
i++),94
ftpc.TotalizerEnd,93
4,92
ranges,92
but,92
formation,92
});,92
[1],91
E1,91
\0x02,\,91
radLabel1,91
//{,90
//},90
value],90
;,90
1;,90
harmless,90
second,90
Conversion,90
sale,90
\necessary,\,90
11,89
textBox11,89
(Communication.Enums.FuelTypeEnum)ft.EnumeratorValue;,88
Runtime,88
text,88
qsd.Sum(s,87
DateTime,87
it,86
22,86
fuel,86
t.TankId,86
Ex,85
values.CurrentPriceTotal,84
identifier,84
then,84
shape1,84
---,84
20,84
\{0}"\,\,83
decimal>,82
decimal>();,82
byte[this.serialPort.BytesToRead];,82
\"\"\);\,82
id,81
textBox12,81
.,80
volumeBuffer[1].ToString(),80
values.Status,80
5,80
volumeBuffer[0].ToString(),80
are,80
b1,79
textBox13,79
(decimal)MyCom.Channel[i,78
connection,78
this.serialPort.DataReceived,78
values.CurrentVolume,78
System.IO.Ports.SerialDataReceivedEventHandler(serialPort_DataReceived);,78
e),78
Common.FuelPointValues();,77
pageInfoTextBox,77
s.VolumeNormalized);,77
/Represents,77
priceBuffer[1].ToString(),77
priceBuffer[0].ToString(),77
Common.Enumerators.FuelPointStatusEnum.Idle;,77
2),77
39,77
il.TankFilling.TransactionTime,76
your,76
event,76
ResGen,76
Guid,76
panel2,76
current,76
0A,75
textBox17,75
literCheckType,75
'-',75
logicalExpression,75
textBox14,74
values.CurrentSalePrice,74
device,74
\"\\r\n"\);\,73
3,73
08,73
bytes,73
tank.TankId,73
Provides,73
tfi.TankId,72
50,72
il.Invoice.InvoiceTypeId,72
connected,72
database.TankFillingInvoiceViews.Where(tfi,72
tfi.InvoiceTypeId,72
Nozzle,72
ft.FuelTypeId).Sum(t,72
t.Value);,72
t.Key.FuelTypeId,72
fp,71
8,71
label1,71
To,71
31,71
Common.FuelPointValues,71
radLabel2,71
0C,70
'\\'',70
FA,70
named,70
fp.ActiveNozzle,70
[LogicalExpression,70
bitwiseOrExpression,70
NULL,69
Common.Enumerators.FuelPointStatusEnum.Idle,69
(in,68
s.TotalizerEnd,68
6,68
prices,68
\dispenser,\,68
whether,68
s.TotalizerStart);,68
textBox16,67
2);,67
\NULL,\,67
textBox15,67
mov.SumIn,66
fp),66
fp.Status;,66
status,66
mov.SumInNormalized,66
primaryExpression,65
this.database.SaveChanges();,65
options,65
\:"\\,64
\name="\deviceId"\>ID\,64
FuelPoint.</param>,64
list,64
\probe,\,64
100,64
rate,64
textBox18,64
-=,64
occures,64
\etc),\,64
addressed.</param>,64
(fuel,64
objects,64
TABLE,63
textBox19,63
nz,63
(int,63
shape2,62
volumeCaptionTextBox,61
ftpc.TotalizerStart;,61
response);,60
cmd.Fpoint.AddressId.ToString(),60
)+,60
--,60
fp.CommonFP.DecimalPlaces);,60
'+',60
\fp,\,60
Version:4.0.30319.18408,60
'\\\\',60
cmd.CommandType.ToString(),60
9,60
authorization,60
dispenser,60
volumeBuffer[2].ToString();,59
crc,59
NOT,59
<returns></returns>,59
\name="\sender"\></param>\,58
fileName,58
\0x40,\,58
E,58
\name="\e"\></param>\,58
tf.TransactionTimeEnd,57
address,57
when,57
7,57
fp.DispenserStatus,57
\name="\deviceId"\>Identifier\,56
(typeof(T),56
\0x04,\,56
Common.Enumerators.FuelPointStatusEnum,56
priceBuffer[2].ToString();,56
Returns,56
entity,56
il.FuelTypeId,56
ftpc.SumTotalOutTotalizerNormalized,56
Καυσίμου,56
23,56
13,56
\name="\deviceId"\/>\,56
baud,56
volumeDataTextBox,56
Basic),56
(left=,55
{greedy=false;,55
closed,55
Common.FuelPoint,55
false);,55
pictureBox1,55
property,55
AA,55
Common.Enumerators.FuelPointStatusEnum.Offline),55
CRC,54
necessary,54
fp.LastNozzle.NozzleIndex,54
commandBuffer.Add(0x00);,54
unitPrice[1].ToString();,54
55,54
textBox20,54
unitPrice[0].ToString(),54
Common.Enumerators.FuelPointStatusEnum.Idle),53
nozzle.ParentFuelPoint.DispensedAmount,53
17,53
while,53
\0x01,\,53
{0},52
//var,52
COM-port,52
configuration,52
\{0},\,52
37,52
,52
dt,52
..,52
this.status,52
(fp.DispenserStatus,52
with</param>,52
fp.QueryTotals,52
PtsConfiguration.FuelPointQuantity,52
State,51
ADD,51
Common.Nozzle,51
nozzle),51
\"\"\)\,51
radButton3,51
Status,50
ft.FuelTypeId,50
fp.DecimalPlaces);,50
\0x03,\,50
characters,50
Creates,50
'#',50
(~,50
\1,\,50
provides,50
18,49
textBox21,49
default(T);,49
ftc.FuelType).Sum(fp,48
Source,48
form,48
totalizer,48
balance.TimeEnd);,48
get,48
nozzle.</param>,48
19,48
ftc.FuelPumps.Where(fp,48
transaction,48
fp.FuelType,48
deliveryType).Sum(tfi,48
this.serialPort.DiscardInBuffer();,47
Guid.Empty);,47
System.Threading.Thread.Sleep(20);,47
24,46
make,46
fp.ActiveNozzleIndex,46
06,46
26,46
'/',45
'>>',45
panel4,45
equalityExpression,45
'%',45
volumeNormalizedCaptionTextBox,45
25,45
multiplicativeExpression,45
typed,45
'<',45
'<<',45
'=',45
bitwiseAndExpression,45
'==',45
commands,45
unaryExpression,45
shiftExpression,45
expression,45
'>',45
'!=',45
'>=',45
object,45
'<=',45
additiveExpression,45
true);,45
'<>',45
relationalExpression,45
tank.TankSerialNumber;,44
totalPriceDataTextBox,44
t.FuelType,44
Common.Enumerators.FuelPointStatusEnum.Nozzle;,44
balance.Reservoirs.Reservoirs.Where(t,44
indicating,44
report;,44
Baud,44
ftpc,44
(b1,44
AS,44
totalPriceCaptionTextBox,44
ft.Nozzles.SelectMany(n,44
st.TransactionTimeStamp,44
mov.FuelType).Sum(t,44
electronic,44
measurement,44
mov.DaylyMoveNormalized,44
mov.DaylyMove,44
label2,44
panel3,43
setting,43
\sender,\,43
cached,43
\0x30,\,43
me,43
dt2;,43
\System.Diagnostics.Trace.WriteLine("\Commad\,42
instance,42
38,42
Buffer,42
fp.AddressId);,42
cmd.CommandString);,42
(decimal)100;,42
get;,42
if(flag,42
protocol,42
35,42
fp);,42
set;,42
\{1}"\,\,42
nz.QueryTotals,42
left,42
\nozzle,\,42
\database,\,42
fp.CommonFP.ActiveNozzle,42
this.serialPort.DtrEnable,41
t.TansDate,41
nozzle.ParentFuelPoint.DispensedVolume,41
ftpc.TotalLiterCheck;,41
\System.IO.File.AppendAllText("\Gilbarco.log"\,\,41
//F_2244C,41
//F_2245A,41
radLabel3,41
ft,41
//F_2244E,41
Guid.NewGuid();,41
//F_2244F,41
//F_2244B,41
///,41
check,41
s.Volume),41
values);,41
tankId).OrderBy(t,41
//F_2245B,41
~,40
28,40
volumeNormalizedDataTextBox,40
div.PercentageNormalized,40
channels,40
HexDigit,40
Sets,40
(this.dispenserStatus,40
radDateTimePicker1,40
div.Percentage,40
endLevel,40
rebuild,40
'(',40
this.Tank.TankStatus,40
remove,40
null);,40
ASCII,40
']',40
ascii,40
')',40
<exception,40
exemplar,40
\this.serialPort.Read(response,\,40
does,40
truncated]&quot;;,39
99,39
[rest,39
CurrentFuelPoint,39
F9,39
s.Volume);,39
state,39
this.serialPort.DiscardOutBuffer();,39
Values,39
CurrentNozzleId,39
Δεξαμενής,39
[21],39
radDateTimePicker2,39
auto-generated,39
\(System.IO.File.Exists("\Gilbarco.log"\))\,39
result,38
.ResX,38
looking,38
Overrides,38
via,38
\0xFD,\,38
\option,\,38
add,38
etc,38
System.Threading.Thread(new,38
thread's,38
\member,\,38
version,38
str;,38
\class,\,38
at,38
this.serialPort.BytesToRead);,38
\strings,\,38
System.IO.File.AppendAllText(System.Environment.CurrentDirectory,38
Studio,38
A,38
/str,38
\2,\,38
VS,38
lookups,38
rerun,38
ResourceManager,38
like,38
StronglyTypedResourceBuilder,38
CurrentUICulture,38
edit,38
strongly-typed,38
tf.TransactionTime,37
parms,37
\"\"\;\,37
10),37
System.Threading.Thread.Sleep(15);,37
affected_nozzle.Status,37
integerToHex(int),37
while(this.serialPort.BytesToRead,37
textBox22,37
thread,37
/ALTER,37
textBox23,37
fp.Nozzles[0].QueryTotals,37
Στάθμη,37
level,37
throw,37
Check,37
Common.Sales.SaleData,37
\Console.WriteLine("\SALE\,36
IS,36
Normalize,36
textBox24,36
conversion,36
\0x06,\,36
boolean,36
currentNozzle.TotalVolumeCounter,36
32,36
F6,36
F4,36
Measurements,36
dt1;,36
Common.Enumerators.FuelPointStatusEnum.TransactionStopped;,36
1].Totals.TotalVolume,36
fp.CommonFP.UnitPriceDecimalPlaces);,36
Basic).</remarks>,36
this.currentCommand.Fpoint.Status,36
if(b1,36
<remarks>At,36
(OpenCommand,36
Data.Balance,36
radButton4,36
Common.Enumerators.FuelPointStatusEnum.Work;,36
^,36
DataTable,35
'&&',35
100);,35
\','\,35
'?',35
0xFC,35
'~',35
TRUE,35
'^',35
Common.FuelPointValuesArgs(),35
main,35
'and',35
40,35
\0x0D,\,35
control,35
/Row,35
'or',35
56,35
ms,35
1E,35
FuelPoints,35
'|',35
'||',35
5),35
':',35
FALSE,35
DataRow,35
'&',35
Δεν,35
arguments,35
mov.SumInInvoicedNormalized,34
\address,\,34
(sale,34
για,34
radDropDownList1,34
\0x61,\,34
(Data.FuelType,34
fuelTypes),34
this.Process.CurrentState,34
for(int,34
Read,34
\n.GetLitercheckSum(balance.TimeStart,\,34
//F_2244D,34
alert,33
(il.Invoice.InvoiceTypeId,33
qInvOther,33
qInvFillings,33
Data.Tank,33
nozzle.LastTotalPrice;,33
db.TankSaleViews.Where(t,33
this.GetDisplay(fp.Nozzles[0]);,33
0x01,33
buffer.Length);,33
previous,33
il.Invoice.InvoiceType.TransactionType,33
tf.InvoiceLines).Where(il,33
label3,33
amount,33
qFill.SelectMany(tf,33
NAME,33
nozzle.LastTotalVolume;,33
(this.status,33
33,33
qsd,32
nn.FuelTypeId,32
\this.serialPort.Write(cmd,\,32
Σφάλμα,32
bit,32
27,32
POS,32
Den,32
\this.ExecuteCommnad(cmd,\,32
calling,32
decimal.Parse(vals[i,32
qd,32
firmware,32
qd.SelectMany(nn,32
temperature,32
received,32
nn.SalesTransactions).Where(s,32
yparxei,32
shape3,32
System.Threading.Thread.Sleep(50);,32
listen,32
Enum,32
Common.Enumerators.FuelPointStatusEnum.Offline;,32
communication,32
ftpc.FuelPumpSerialNumber,32
water,32
sygkekrimeno,32
\"\\\logs"\\,32
System.Globalization.NumberFormatInfo.CurrentInfo.NumberDecimalSeparator));,32
10);,32
belongs,32
(this.serialPort.BytesToRead,32
%,31
textBox27,31
lock,31
F5,31
20),31
textBox25,31
database,31
n.Index,31
response),31
textBox26,31
1);,31
29,31
\channel,\,30
g.Sum(f,30
\dt1,\,30
operand,30
total,30
currentTimeTextBox,30
id.ToLower()).FirstOrDefault();,30
alarm,30
comparison,30
this.curCommand);,30
\"\"\).Replace("\E"\,\,30
pageHeader,30
Specifies,30
fp.ActiveNozzle.NozzleIndex,30
salesNozzle,30
this.TankId).OrderByDescending(t,30
this.commands.TryDequeue(out,30
zero,30
Data.TankFilling,30
commandParms,30
(decimal)MyCom.Channel[i].Delivery.DisplayPrice,30
10)),30
\"\\r\n"\;\,30
Use,30
'\\u001f',30
convert,30
Summary:,30
36,30
0x0F),30
this.btnStats.Enabled,30
this.btnSettings.Enabled,30
((TimeOut,30
Bytes,30
expressionList,30
t.TransactionTimeStamp).FirstOrDefault();,30
intergers,30
saleNozzle,30
xx-xx-xx-xx,30
'\\u0000',30
database.TankLevelEndViews.Where(t,29
ftpc.TotalOut,29
ftpc.TotalOutNormalized,29
Data.TankLevelEndView,29
\Data.Implementation.OptionHandler.Instance.GetGuidOption("\LiterCheckInvoiceType"\,\,29
ftpc.SumTotalOut,29
radButton5,29
data;,29
0.1,29
