File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\DEV\Exedron\ASFuelControl.Windows.45\Controller.cs,882,794,467,108,76,0,12,61,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\FuelPumpControllerBase.cs,840,762,412,77,78,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.AK6\AK6Protocol.cs,577,406,262,47,69,9,102,387,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.AK6\Controller.cs,127,16,10,0,17,0,94,306,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.AK6\SRegex.cs,157,117,66,18,26,1,14,86,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.AK6\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.AK6_Dual\AK6_DualProtocol.cs,640,574,326,86,54,0,12,137,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.AK6_Dual\Controller.cs,18,16,10,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.AK6_Dual\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.AK6_Mono\AK6_MonoProtocol.cs,654,586,334,88,56,0,12,137,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.AK6_Mono\Controller.cs,18,16,10,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.AK6_Mono\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Ametek\ATGProbe.cs,98,88,54,6,10,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Ametek\Connector.cs,287,268,158,23,19,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Ametek\Controller.cs,246,208,116,13,38,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Ametek\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Box69\Box69Protocol.cs,803,575,355,123,87,5,141,462,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Box69\Controller.cs,438,358,228,60,69,0,11,36,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Box69\FuelPoint.cs,627,518,346,58,69,1,40,99,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Box69\Nozzle.cs,47,40,29,1,7,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Box69\ProtocolController.cs,458,382,250,75,58,5,18,133,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Box69\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Box69\Properties\Settings.Designer.cs,36,21,9,2,7,1,8,30,0,1
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Box69b\ConnectorBox69b.cs,938,728,435,91,99,10,111,368,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Box69b\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.BoxIFSF\BoxIFSF.cs,810,745,392,87,45,0,20,49,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.BoxIFSF\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
