Word,Count
/,15230
=,10396
the,4656
<summary>,3666
of,3602
</summary>,3554
{,3349
to,3193
},3156
if,2925
a,2767
==,2628
+,2548
=>,2154
in,2069
new,1796
for,1786
this,1592
&&,1434
method,1258
<remarks/>,1217
-,1200
(,1199
is,1177
<param,1122
up,1099
00,1095
assembly,996
string,979
!=,969
),953
|,951
return,940
an,934
*****,888
else,847
localized,831
code,828
Required,811
Looks,794
E0,751
class,740
null),740
\"\\,740
type,720
with,713
01,697
on,680
not,678
be,671
byte[],640
$ANTLR,640
Version,599
following,597
true;,593
modify,576
designer,575
support,575
or,566
and,537
similar,532
values,515
<=,507
:,495
//,494
set,488
int,483
resources,472
Gets,469
information,458
from,452
Script,448
Date:,448
Object:,448
by,447
06/20/2014,440
any,438
<,433
>=,430
message,430
order,430
each,423
can,415
you,414
error,411
depending,409
19:13:12,408
ComVisible,406
COM,402
properties,401
Revision,400
attribute,398
Build,398
partial,397
implement,397
Please,397
provide,397
*,396
30,395
should,389
that,387
0;,386
do,383
editor,377
resource,377
contents,377
false;,377
0),375
02,372
PTS,344
decimal,343
telerik,339
Reporting,339
private,336
continue;,325
public,323
return;,322
start,321
throws,320
value,320
RecognitionException,320
using,319
foreach,316
end,315
)*,315
If,314
FuelPoint,306
controller,302
\0,\,300
all,296
as,292
used,289
ATG,284
after,282
||,282
response,278
1,277
null;,277
right=,275
\0x00,\,267
var,265
balance.TimeEnd,265
System.Drawing.Bitmap,262
>,260
ForeignKey,252
null,251
'*',244
being,244
waiting,244
call,242
about,239
ID,237
Designer,236
\otherwise,\,236
false.</param>,236
project,236
\name="\disposing"\>true\,236
variable,236
managed,236
disposed;,236
Clean,236
void,235
these,234
04,230
[2],228
The,227
true,223
through,220
command,220
false,219
+=,218
Protocol,212
Number,212
fp.Status,211
parameter,211
was,209
General,207
access,207
need,205
\COM,\,203
nozzle,203
GUID,203
Summary,201
description,201
\(decimal)Math.Pow(10,\,200
Add,200
exposed,199
values:,199
Change,199
types,199
associated,199
Information,199
Numbers,199
default,199
visible,199
specify,199
Minor,199
typelib,199
four,199
components,199
controlled,199
You,199
makes,199
below:,199
Setting,199
consists,199
attributes,199
shown,199
Major,199
constructor,198
TODO:,198
[assembly:,198
\AssemblyVersion("\1.0.*"\)]\,198
0,197
InitializeComponent,192
returns,192
FC,191
<remarks>,188
case,188
------------------------------------------------------------------------------,188
</remarks>,188
try,185
i,185
which,184
FD,181
Table,180
15,171
DateTime.Now;,167
balance.TimeStart,166
data,161
s.TransactionTimeStamp,160
qs.Sum(s,159
This,157
21,154
file,152
panel1,151
};,150
03,144
\Dictionary<Data.Tank,\,144
tfi.TransactionTimeEnd,144
radButton1,141
70,140
textBox1,139
Method,139
catch,137
detail,136
system,136
values.ActiveNozzle,136
will,136
Value,136
NP,135
12,135
[,135
68ms,135
time],135
tank,134
cmd,133
Visual,133
2,130
break;,128
has,128
textBox4,128
textBox2,128
argument,125
FB,124
<paramref,124
07,123
1),123
tool,121
no,119
array,119
channel,118
Stops,118
labelsGroupHeaderSection,117
labelsGroupFooterSection,117
reportHeader,117
balance.TimeStart);,117
volume,116
DIGIT,115
product,115
textBox3,115
radButton2,114
strongly,114
reportFooter,113
/</summary>,112
textBox5,111
bool,111
byte,111
Event,111
left=,110
16,109
/GO,108
14,108
10;,108
textBox7,107
b1,107
buffer,107
price,104
nozzles,104
behavior,104
34,103
10,103
15*4,102
pageFooter,101
textBox8,101
generated,100
sets,100
-1;,100
whining,100
C#,100
byte[this.serialPort.BytesToRead];,100
label,100
compiler,100
statements,100
deliveryType,100
E1,99
cause,98
may,98
hex,97
(Nothing,96
textBox10,96
titleTextBox,96
textBox6,96
textBox9,96
Ex,95
conditionalExpression,95
str,95
regenerated,94
<auto-generated>,94
Changes,94
</auto-generated>,94
incorrect,94
lost,94
FF,93
ftpc.TotalizerEnd,93
ranges,92
formation,92
but,92
05,92
4,91
value],90
\necessary,\,90
Conversion,90
[1],90
radLabel1,90
harmless,90
11,90
second,90
;,90
//if,89
text,88
textBox11,88
});,88
(Communication.Enums.FuelTypeEnum)ft.EnumeratorValue;,88
values.CurrentPriceTotal,88
//{,88
//},88
i++),87
