File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\dev\Exedron\ASFuelControl.Windows\FuelPumpControllerBase.cs,840,762,412,77,78,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\clearDatabase.sql,21,21,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ShrinkLog2008.sql,26,18,0,0,8,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.AK6\AK6Protocol.cs,569,415,266,47,68,9,86,345,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.AK6\Controller.cs,127,16,10,0,17,0,94,306,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.AK6\SRegex.cs,157,117,66,18,26,1,14,86,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.AK6\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.AK6_Dual\AK6_DualProtocol.cs,556,502,287,70,41,0,13,65,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.AK6_Dual\Controller.cs,18,16,10,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.AK6_Dual\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Ametek\ATGProbe.cs,17,15,11,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Ametek\Connector.cs,202,177,114,28,18,0,7,23,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Ametek\Controller.cs,220,176,102,13,44,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Ametek\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Box69\Box69Protocol.cs,803,575,355,123,87,5,141,462,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Box69\Controller.cs,438,358,228,60,69,0,11,36,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Box69\FuelPoint.cs,627,518,346,58,69,1,40,99,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Box69\Nozzle.cs,47,40,29,1,7,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Box69\ProtocolController.cs,458,382,250,75,58,5,18,133,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Box69\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Box69\Properties\Settings.Designer.cs,36,21,9,2,7,1,8,30,0,1
