Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,2393,713173,562478,364403,49709,69123,2502,81572,257144,10,190
D:\dev\Exedron\ASFuelControl.Windows,2393,713173,562478,364403,49709,69123,2502,81572,257144,10,190
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.AK6,4,890,563,345,65,116,10,211,857,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.AK6\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.AK6_Dual,3,611,533,300,70,48,0,30,185,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.AK6_Dual\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Ametek,4,476,383,230,41,69,0,24,143,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Ametek\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Box69,7,2446,1909,1220,319,302,12,235,880,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Box69\Properties,2,73,36,12,2,12,1,25,150,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Box69b,2,967,751,441,91,105,10,111,442,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Box69b\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Box69b\obj,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Box69b\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.BoxIFSF,2,837,768,398,87,49,0,20,127,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.BoxIFSF\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common,41,5281,3683,2202,465,641,15,957,3483,0,4
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Enumerators,17,463,418,143,9,45,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Properties,3,542,294,164,50,66,2,182,906,0,2
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Sales,4,639,331,222,25,80,12,228,798,0,2
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication,18,4714,3773,2368,347,636,5,305,1001,0,2
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\Enums,5,130,118,50,7,12,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\Properties,2,299,158,86,25,36,1,105,583,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\Service References,1,2929,2285,1354,203,445,1,199,412,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\Service References\FuelFlowService,1,2929,2285,1354,203,445,1,199,412,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data,18,24868,21789,11540,2466,2459,74,620,3690,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Implementation,6,5130,4318,2681,748,541,73,271,1047,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Properties,2,455,246,140,42,53,1,156,859,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Validators,7,682,478,288,66,111,0,93,277,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.EMR3,3,633,518,301,66,97,9,18,149,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.EMR3\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Elbis,4,1413,841,524,112,168,1,404,1374,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Elbis\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Euromat,2,82,53,28,2,12,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Euromat\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Europump,3,945,759,447,114,117,3,69,680,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Europump\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Fafnir,4,547,434,264,44,90,3,23,165,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.FafnirDirect,4,533,419,255,42,91,3,23,165,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.FafnirDirect\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Fafnir\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.FuelPump,3,1047,757,462,140,129,5,161,587,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.FuelPump\Properties,2,73,36,12,2,12,1,25,150,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GVR,5,1185,1117,301,61,51,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GVR\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GVR\obj,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GVR\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Gilbarco,9,3567,2009,1253,293,399,67,1159,4080,0,2
